"Transaction","FieldPath","TargetValue","ModernValue","Status"
"AUTHORIZATION","002(pan)","################","################","MATCH"
"AUTHORIZATION","003(procCode)","900000","000000","VALUE_DIFF"
"AUTHORIZATION","004(amount)","10000","2112","VALUE_DIFF"
"AUTHORIZATION","011(sysTraceNum)","9","12345","VALUE_DIFF"
"AUTHORIZATION","012(localDatetime)","260408084613","250524160515","VALUE_DIFF"
"AUTHORIZATION","014(expiry)","####","####","MATCH"
"AUTHORIZATION","022(posDataCode).1(inputCapability)","1","1","MATCH"
"AUTHORIZATION","022(posDataCode).10(cardDataOutputCapability)","1","1","MATCH"
"AUTHORIZATION","022(posDataCode).11(terminalOutputCapability)","0","0","MATCH"
"AUTHORIZATION","022(posDataCode).12(pinCaptCapability)","0","0","MATCH"
"AUTHORIZATION","022(posDataCode).2(authCapability)","0","0","MATCH"
"AUTHORIZATION","022(posDataCode).3(captureCapability)","0","0","MATCH"
"AUTHORIZATION","022(posDataCode).4(operatingEnvironment)","0","0","MATCH"
"AUTHORIZATION","022(posDataCode).5(cardholderPresent)","5","2","VALUE_DIFF"
"AUTHORIZATION","022(posDataCode).6(cardPresent)","0","0","MATCH"
"AUTHORIZATION","022(posDataCode).7(inputMode)","1","1","MATCH"
"AUTHORIZATION","022(posDataCode).8(authMethod)","0","0","MATCH"
"AUTHORIZATION","022(posDataCode).9(authEntity)","0","0","MATCH"
"AUTHORIZATION","028(reconciliationDate)","260408","250524","VALUE_DIFF"
"AUTHORIZATION","029(reconciliationNumber)","001","001","MATCH"
"AUTHORIZATION","032(acqInstCode)","0100860099","0100860099","MATCH"
"AUTHORIZATION","037(retrivRefNum)","2364000009","3448012345","VALUE_DIFF"
"AUTHORIZATION","041(terminalId)","11111","123455","VALUE_DIFF"
"AUTHORIZATION","042(merchantId)","1234567890","M12345","VALUE_DIFF"
"AUTHORIZATION","043(cardAcceptorNameLoc)","WTFSUMER              Brisbane","Retail Computers pvt limitedNew York","VALUE_DIFF"
"AUTHORIZATION","048(addPrivateData).0001(itemNumber)","001","001","MATCH"
"AUTHORIZATION","049(currencyCode)","818","840","VALUE_DIFF"
"AUTHORIZATION","060(reservedPrivateData).01(applicationId)","3765WITT","3765WMTT","VALUE_DIFF"
"AUTHORIZATION","063(reservedPrivateDataIII).02(cvv2)","###","","MISSING_IN_MOD"
"AUTHORIZATION","063(reservedPrivateDataIII).04(moto)","7","1","VALUE_DIFF"
"AUTHORIZATION","063(reservedPrivateDataIII).08(partialApprovalIndicator)","","Y","EXTRA_IN_MOD"
"AUTHORIZATION","063(reservedPrivateDataIII).13(universalCardholderAuthenticationField)","","AmHtn+shanruty198hancvuJYHHN19w-","EXTRA_IN_MOD"
"AUTHORIZATION","063(reservedPrivateDataIII).15(acceptanceIndicatorCardSchemeData)","Y","Y","MATCH"
"AUTHORIZATION","063(reservedPrivateDataIII).30(credentialOnFileIndicator)","S","","MISSING_IN_MOD"
"AUTHORIZATION","063(reservedPrivateDataIII).31(industrySpecificTransactionIndicator)","09","","MISSING_IN_MOD"
"AUTHORIZATION","063(reservedPrivateDataIII).39(threeDSVersionNumber)","","2","EXTRA_IN_MOD"
"AUTHORIZATION","063(reservedPrivateDataIII).40(dsTransactionId)","","abc12345defg20011","EXTRA_IN_MOD"
"AUTHORIZATION","063(reservedPrivateDataIII).44(scaStatusIndicator)","2","","MISSING_IN_MOD"
"AUTHORIZATION","063(reservedPrivateDataIII).50(threeDSecureCapabilityIndicator)","2.2.0","2.2.0","MATCH"
"AUTHORIZATION","063(reservedPrivateDataIII).55(securityLevelIndicator)","","","MATCH"
"AUTHORIZATION","063(reservedPrivateDataIII).65(mastercardMerchantPaymentGatewayID)","00000237378","00000123456","VALUE_DIFF"
"AUTHORIZATION","Header.1(messageTypeId)","1100","1200","VALUE_DIFF"
"VOID_AUTHORIZATION","002(pan)","################","################","MATCH"
"VOID_AUTHORIZATION","003(procCode)","940000","000000","VALUE_DIFF"
"VOID_AUTHORIZATION","004(amount)","10000","2112","VALUE_DIFF"
"VOID_AUTHORIZATION","011(sysTraceNum)","10","654321","VALUE_DIFF"
"VOID_AUTHORIZATION","012(localDatetime)","260408084648","250524170515","VALUE_DIFF"
"VOID_AUTHORIZATION","014(expiry)","####","####","MATCH"
"VOID_AUTHORIZATION","024(functionCode)","400","400","MATCH"
"VOID_AUTHORIZATION","025(reasonCode)","4000","4000","MATCH"
"VOID_AUTHORIZATION","028(reconciliationDate)","260408","250524","VALUE_DIFF"
"VOID_AUTHORIZATION","029(reconciliationNumber)","001","001","MATCH"
"VOID_AUTHORIZATION","032(acqInstCode)","0100860099","0100860099","MATCH"
"VOID_AUTHORIZATION","037(retrivRefNum)","2364000010","3448654321","VALUE_DIFF"
"VOID_AUTHORIZATION","038(approvalCode)","100000","","MISSING_IN_MOD"
"VOID_AUTHORIZATION","041(terminalId)","11111","123455","VALUE_DIFF"
"VOID_AUTHORIZATION","042(merchantId)","1234567890","M12345","VALUE_DIFF"
"VOID_AUTHORIZATION","043(cardAcceptorNameLoc)","WTFSUMER              Brisbane","Retail Computers pvt limitedBrisbane","VALUE_DIFF"
"VOID_AUTHORIZATION","048(addPrivateData).0001(itemNumber)","001","001","MATCH"
"VOID_AUTHORIZATION","048(addPrivateData).0002(elavonStan)","","654321","EXTRA_IN_MOD"
"VOID_AUTHORIZATION","048(addPrivateData).0004(elavonRrn)","","123456679012","EXTRA_IN_MOD"
"VOID_AUTHORIZATION","049(currencyCode)","818","840","VALUE_DIFF"
"VOID_AUTHORIZATION","060(reservedPrivateData).01(applicationId)","3765WITT","3765WMTT","VALUE_DIFF"
"VOID_AUTHORIZATION","063(reservedPrivateDataIII).04(moto)","7","1","VALUE_DIFF"
"VOID_AUTHORIZATION","063(reservedPrivateDataIII).15(acceptanceIndicatorCardSchemeData)","Y","Y","MATCH"
"VOID_AUTHORIZATION","063(reservedPrivateDataIII).16(cardSchemeData)","M2604080846131111712  ","","MISSING_IN_MOD"
"VOID_AUTHORIZATION","063(reservedPrivateDataIII).30(credentialOnFileIndicator)","S","","MISSING_IN_MOD"
"VOID_AUTHORIZATION","063(reservedPrivateDataIII).44(scaStatusIndicator)","2","","MISSING_IN_MOD"
"VOID_AUTHORIZATION","Header.1(messageTypeId)","1420","1420","MATCH"
"VERIFICATION","002(pan)","################","################","MATCH"
"VERIFICATION","003(procCode)","000000","000000","MATCH"
"VERIFICATION","004(amount)","0","0","MATCH"
"VERIFICATION","011(sysTraceNum)","9","335545","VALUE_DIFF"
"VERIFICATION","012(localDatetime)","260408083239","230405064049","VALUE_DIFF"
"VERIFICATION","014(expiry)","####","####","MATCH"
"VERIFICATION","022(posDataCode).1(inputCapability)","1","1","MATCH"
"VERIFICATION","022(posDataCode).10(cardDataOutputCapability)","1","1","MATCH"
"VERIFICATION","022(posDataCode).11(terminalOutputCapability)","0","0","MATCH"
"VERIFICATION","022(posDataCode).12(pinCaptCapability)","0","0","MATCH"
"VERIFICATION","022(posDataCode).2(authCapability)","0","0","MATCH"
"VERIFICATION","022(posDataCode).3(captureCapability)","0","0","MATCH"
"VERIFICATION","022(posDataCode).4(operatingEnvironment)","0","0","MATCH"
"VERIFICATION","022(posDataCode).5(cardholderPresent)","5","5","MATCH"
"VERIFICATION","022(posDataCode).6(cardPresent)","0","0","MATCH"
"VERIFICATION","022(posDataCode).7(inputMode)","1","1","MATCH"
"VERIFICATION","022(posDataCode).8(authMethod)","0","0","MATCH"
"VERIFICATION","022(posDataCode).9(authEntity)","0","0","MATCH"
"VERIFICATION","028(reconciliationDate)","260408","230405","VALUE_DIFF"
"VERIFICATION","029(reconciliationNumber)","001","001","MATCH"
"VERIFICATION","032(acqInstCode)","0100860099","0100860099","MATCH"
"VERIFICATION","037(retrivRefNum)","2364000009","2266335545","VALUE_DIFF"
"VERIFICATION","041(terminalId)","22222","0013","VALUE_DIFF"
"VERIFICATION","042(merchantId)","1234567890","M12345","VALUE_DIFF"
"VERIFICATION","043(cardAcceptorNameLoc)","WTFSUMER              Brisbane","Retail Computers pvt limitedNew York","VALUE_DIFF"
"VERIFICATION","048(addPrivateData).0001(itemNumber)","001","001","MATCH"
"VERIFICATION","049(currencyCode)","818","826","VALUE_DIFF"
"VERIFICATION","060(reservedPrivateData).01(applicationId)","3765WITT","3765WITT","MATCH"
"VERIFICATION","063(reservedPrivateDataIII).02(cvv2)","###","","MISSING_IN_MOD"
"VERIFICATION","063(reservedPrivateDataIII).04(moto)","5","5","MATCH"
"VERIFICATION","063(reservedPrivateDataIII).13(universalCardholderAuthenticationField)","mHyn+7YFi1EUAREAAAAvNUe6Hv8=","AmHtn+shanruty198hancvuJYHHN19w-","VALUE_DIFF"
"VERIFICATION","063(reservedPrivateDataIII).15(acceptanceIndicatorCardSchemeData)","Y","Y","MATCH"
"VERIFICATION","063(reservedPrivateDataIII).23(ucafCollectionIndicator)","2","2","MATCH"
"VERIFICATION","063(reservedPrivateDataIII).30(credentialOnFileIndicator)","S","S","MATCH"
"VERIFICATION","063(reservedPrivateDataIII).31(industrySpecificTransactionIndicator)","06","09","VALUE_DIFF"
"VERIFICATION","063(reservedPrivateDataIII).39(threeDSVersionNumber)","2","2","MATCH"
"VERIFICATION","063(reservedPrivateDataIII).40(dsTransactionId)","88928426-046a-4631-aebc-e52129485c8c","abc12345defg20011","VALUE_DIFF"
"VERIFICATION","063(reservedPrivateDataIII).44(scaStatusIndicator)","2","","MISSING_IN_MOD"
"VERIFICATION","063(reservedPrivateDataIII).50(threeDSecureCapabilityIndicator)","2.2.0","2.2.0","MATCH"
"VERIFICATION","063(reservedPrivateDataIII).65(mastercardMerchantPaymentGatewayID)","00000237378","","MISSING_IN_MOD"
"VERIFICATION","Header.1(messageTypeId)","1200","1200","MATCH"
