"Field Name","Auth-Request","VoidAuth-Request","Verify-Request","ElavonUsage","UsageComments"
"MerchantContext.Acquirer.AcquirerName","N","N","N","NOT_USED",""
"MerchantContext.Acquirer.BatchFullLevel","N","N","N","NOT_USED",""
"MerchantContext.Acquirer.BatchWarningLevel","N","N","N","NOT_USED",""
"MerchantContext.Acquirer.Locale","N","N","N","NOT_USED",""
"MerchantContext.Acquirer.TerminalType","N","N","N","NOT_USED",""
"MerchantContext.Acquirer.Timezone","N","N","N","NOT_USED",""
"MerchantContext.AcquirerBatchNumber","N","N","N","NOT_USED",""
"MerchantContext.Merchant.CreationDate","N","N","N","NOT_USED",""
"MerchantContext.Merchant.GoodsDescription","N","N","N","NOT_USED",""
"MerchantContext.Merchant.HomeUrl","Y","Y","N","NOT_USED",""
"MerchantContext.Merchant.Level5","N","N","N","NOT_USED",""
"MerchantContext.Merchant.Locale","N","N","N","NOT_USED",""
"MerchantContext.Merchant.SupportedEMV3DSSchemes","N","N","N","USED","count=2 classes=[MegaJsonToElavonMessageMapper; TspiToElavonMessageMapper] samples: [MegaJsonToElavonMessageMapper] L1084: .add( request.merchantContext().merchant().supportedEMV3DSSchemes( i ) );"
"MerchantContext.Merchant.SupportsAmexSafeKey","N","N","N","NOT_USED",""
"MerchantContext.Merchant.SupportsDinersProtectBuy","N","N","N","NOT_USED",""
"MerchantContext.Merchant.SupportsJSecure","N","N","N","NOT_USED",""
"MerchantContext.Merchant.SupportsMasterpass","N","N","N","NOT_USED",""
"MerchantContext.Merchant.SupportsSecureCode","N","N","N","NOT_USED",""
"MerchantContext.Merchant.SupportsVbV","N","N","N","NOT_USED",""
"MerchantContext.MerchantAcquirerRelationship.EcIndicator","N","N","N","NOT_USED",""
"MerchantContext.MerchantAcquirerRelationship.IdentCode","N","N","N","NOT_USED",""
"MerchantContext.MerchantAcquirerRelationship.RecurringTypeDefault","N","N","N","NOT_USED",""
"MerchantContext.MerchantAcquirerRelationship.RelationshipId","N","N","N","NOT_USED",""
"MerchantContext.TerminalBatchNumber","N","N","N","NOT_USED",""
"MerchantContext.TerminalId","N","N","N","NOT_USED",""
"RoutingHeader.RequestId","N","N","N","NOT_USED",""
"RoutingHeader.RequestUrl","N","N","N","NOT_USED",""
"RoutingHeader.RetryCount","N","N","N","NOT_USED",""
"Transaction.AccountType","N","N","N","NOT_USED",""
"Transaction.CSC","N","N","N","NOT_USED",""
"Transaction.CardCountryOfIssue","N","N","N","NOT_USED",""
"Transaction.CardOnFile","Y","Y","N","NOT_USED",""
"Transaction.CardScheme","N","N","N","NOT_USED",""
"Transaction.CardSecurityCode","Y","N","N","NOT_USED",""
"Transaction.CardTrackPresent","N","N","N","NOT_USED",""
"Transaction.CashAdvance","N","N","N","NOT_USED",""
"Transaction.CpcLevel","N","N","N","NOT_USED",""
"Transaction.DccBaseAmount","N","N","N","NOT_USED",""
"Transaction.DccEnabled","N","N","N","NOT_USED",""
"Transaction.DeferredAuthorization","N","N","N","NOT_USED",""
"Transaction.GatewayEntryPoint","N","N","N","NOT_USED",""
"Transaction.ManuallyAuthorised","N","N","N","NOT_USED",""
"Transaction.MerchantTransactionSource","N","N","N","NOT_USED",""
"Transaction.OrderCustomFields","N","N","N","NOT_USED",""
"Transaction.OrderNumber","N","N","N","NOT_USED",""
"Transaction.PaymentType","N","N","N","USED","count=1 classes=[TspiToElavonMessageMapper] samples: [TspiToElavonMessageMapper] L1434: && SCHEME_TOKEN.equals( transaction.paymentType() )"
"Transaction.RecurringType","N","N","N","NOT_USED",""
"Transaction.Referred","N","N","N","NOT_USED",""
"Transaction.TransactionNumber","N","N","N","NOT_USED",""
"Transaction.AuthorisationId","N","N","N","NOT_USED",""
