"FieldName","ClassName","ModelClass","LineContent","LineNo","FilePath","RepoName"
"routingheader.action.tostring","ElavonRequestResponseBuilder","RoutingHeader","paramsMap.put( TXN_RESOURCE_URL, transactionRequest.routingHeader().action().toString() );","78","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"routingheader.action.tostring","ElavonRequestResponseBuilder","RoutingHeader","paramsMap.put( TXN_RESOURCE_URL, transactionRequest.routingHeader().action().toString() );","90","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"routingheader.sptaction","ElavonRequestResponseBuilder","RoutingHeader","return ""PROCESS_AND_RECORD"".equals( transactionRequest.routingHeader().sptAction() ) ||","120","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"routingheader.sptaction","ElavonRequestResponseBuilder","RoutingHeader","""SPT_ONLY"".equals( transactionRequest.routingHeader().sptAction() );","121","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"routingheader.action.tostring.touppercase","ElavonRequestResponseBuilder","RoutingHeader","return transactionRequest.routingHeader().action().toString().toUpperCase();","143","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"transactionresponse.sourcetransactionid","ElavonMapper","TransactionResponse","TransactionResponse details = new TransactionResponse().sourceTransactionId( internalId );","82","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"transactionresponse.responsecode.declined","ElavonMapper","TransactionResponse","details.responseCode( TransactionResponse.ResponseCode.DECLINED )","86","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"transactionresponse.responsecode.approved","ElavonMapper","TransactionResponse","details.responseCode( TransactionResponse.ResponseCode.APPROVED );","90","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"polling.pollingrequest.submissionreferences.submissionreference.submissionid","ElavonMapper","SubmissionReference","submissionReference.submissionId( id );","110","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"polling.pollingrequest.submissionreferences.submissionreference.responsematchdata","ElavonMapper","SubmissionReference","submissionReference.responseMatchData( metadata );","111","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"","ISOResponseMessageConverter","TransactionResponse","requestResponse.getTransactionResponse().getMessage() );","72","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\converter\ISOResponseMessageConverter.java","acqelavons2aservice"
"transaction.acquirertransactionid","ISOResponseMessageConverter","Transaction","requestResponse.getTransactionRequest().transaction().acquirerTransactionId() ) ) {","95","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\converter\ISOResponseMessageConverter.java","acqelavons2aservice"
"transactionresponse.transactionresponse.acquirertransactionid","ISOResponseMessageConverter","TransactionResponse","transactionResponse.transactionResponse().acquirerTransactionId(","96","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\converter\ISOResponseMessageConverter.java","acqelavons2aservice"
