"FieldName","ValidationStatus","ClassName","LineContent","LineNo","FilePath","RepoName"
"transaction.acquirertransactionid","VALID","ISOResponseMessageConverter","requestResponse.getTransactionRequest().transaction().acquirerTransactionId() ) ) {","95","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/converter/ISOResponseMessageConverter.java","acqelavons2aservice"
"transactionresponse.acquirertransactionid","VALID","ISOResponseMessageConverter","transactionResponse.transactionResponse().acquirerTransactionId(","96","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/converter/ISOResponseMessageConverter.java","acqelavons2aservice"
"transaction.acquirertransactionid","VALID","ISOResponseMessageConverter","requestResponse.getTransactionRequest().transaction().acquirerTransactionId() );","97","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/converter/ISOResponseMessageConverter.java","acqelavons2aservice"
"transactionresponse.stan","VALID","ElavonResponseToMegaJsonMapper","stan.ifPresent( result -> response.transactionResponse().stan( result ) );","77","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.responsecode","VALID","ElavonResponseToMegaJsonMapper","response.transactionResponse().responseCode(","108","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponseadvice","VALID","ElavonResponseToMegaJsonMapper","response.transactionResponse().acquirerResponseAdvice(","120","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.responsecode","VALID","ElavonResponseToMegaJsonMapper","response.transactionResponse().responseCode( APPROVED );","129","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.stan","VALID","ElavonResponseToMegaJsonMapper",".ifPresent( stanResult -> response.transactionResponse().stan( stanResult ) );","139","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.rrn","VALID","ElavonResponseToMegaJsonMapper",".ifPresent( rrnResult -> response.transactionResponse().rrn( rrnResult ) );","150","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirercscresponsecode","VALID","ElavonResponseToMegaJsonMapper","cvvResult -> response.transactionResponse().acquirerCscResponseCode( cvvResult ) );","187","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquireravsresponsecode","VALID","ElavonResponseToMegaJsonMapper","aavResult -> response.transactionResponse().acquirerAvsResponseCode( aavResult ) );","217","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","250","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","264","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","278","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","293","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
